Case Origin,Type,Category,Sub-Category,Station,Date/Time Opened,Date/Time Closed,Age (Days)
Website,Complaint,Parking,Crowded Lots,L10 - Castro Valley,4/3/18 22:01,4/9/18 18:16,6
Website,Complaint,Service,Scheduling,,4/4/18 5:23,4/9/18 18:21,6
Website,Complaint,Police,Fare Evasion,,4/4/18 5:41,4/10/18 11:57,6
Website,Complaint,Train Cleanliness,Interior Car Cleanliness,,4/4/18 6:08,4/10/18 12:03,6
Website,Complaint,Station Cleanliness,Plaza,M90 - Daly City,4/4/18 6:22,4/10/18 12:27,6
Website,Complaint,Station Cleanliness,Plaza,M50 - 16th St. Mission (SF),4/4/18 6:43,4/10/18 12:29,6
Website,Complaint,Service,Short Trains,,4/4/18 6:47,4/4/18 9:40,0
Website,Complaint,Service,Scheduling,A90 - Fremont,4/4/18 7:35,4/4/18 8:44,0
Website,Complaint,Service,Crowded Trains,,4/4/18 8:52,4/4/18 10:16,0
Website,Complaint,Service,Short Trains,,4/4/18 8:55,4/4/18 9:55,0
Website,Complaint,Trains,Air Conditioning Inoperative,,4/4/18 11:02,4/10/18 12:37,6
Website,Complaint,Police,Police Misc.,C60 - Concord,4/4/18 11:29,4/10/18 12:40,6
Phone,Complaint,Maintenance and Equipment,M&E Misc.,M50 - 16th St. Mission (SF),4/4/18 11:30,4/10/18 12:46,6
Email,Complaint,Quality of Life,Transient,,4/4/18 13:18,4/17/18 8:59,13
Email,Complaint,Maintenance and Equipment,Courtesy Phones,R20 - Downtown Berkeley,4/4/18 13:27,4/9/18 14:24,5
Phone,Complaint,Policies,Fares,A30 - Coliseum,4/4/18 13:33,4/10/18 13:33,6
Phone,Complaint,Train Cleanliness,Window-In-Car,,4/4/18 13:42,4/10/18 14:14,6
Phone,Complaint,Parking,Restrictions/Enforcement,R10 - Ashby (Berkeley),4/4/18 13:43,4/4/18 14:06,0
Website,Complaint,Announcements,Announcements Misc.,,4/4/18 14:47,4/10/18 13:35,6
Website,Complaint,Policies,Fares,M16 - Embarcadero (SF),4/4/18 16:27,4/10/18 13:46,6
Website,Complaint,Police,Fare Evasion,L20 - West Dublin/Pleasanton,4/4/18 16:32,4/10/18 13:56,6
Phone,Complaint,Police,Fare Evasion,A20 - Fruitvale (Oakland),4/4/18 16:52,4/4/18 16:55,0
Website,Complaint,Service,Delays,,4/4/18 17:22,4/10/18 14:03,6
Website,Complaint,Policies,Policies Misc.,,4/4/18 17:34,4/10/18 14:15,6
Ground Mail,Complaint,Quality of Life,Mental Health,M40 - Civic Center/UN Plaza (SF),4/4/18 17:46,5/18/18 13:39,44
Website,Complaint,Maintenance and Equipment,Escalator,M40 - Civic Center/UN Plaza (SF),4/4/18 18:46,4/10/18 14:22,6
Website,Complaint,Maintenance and Equipment,Elevator,M20 - Montgomery St. (SF),4/4/18 21:21,4/10/18 14:34,6
Website,Complaint,Announcements,Announcements Misc.,,4/4/18 23:01,4/10/18 14:51,6
Website,Complaint,Maintenance and Equipment,M&E Misc.,,4/5/18 4:29,4/11/18 11:27,6
Website,Complaint,Policies,Operations,A30 - Coliseum,4/5/18 7:55,4/11/18 11:46,6
Website,Complaint,Police,Fare Evasion,A40 - San Leandro,4/5/18 8:15,4/5/18 10:08,0
Website,Complaint,Parking,Long Term,,4/5/18 8:43,4/11/18 12:01,6
Website,Complaint,Service,Caltrain Connection,W40 - Millbrae,4/5/18 8:46,4/11/18 13:23,6
Website,Complaint,Police,Fare Evasion,,4/5/18 11:00,5/9/18 14:37,34
Phone,Complaint,Police,Fare Evasion,R50 - El Cerrito del Norte,4/5/18 11:40,4/11/18 17:05,6
Website,Complaint,Parking,Paid Reserve,R50 - El Cerrito del Norte,4/5/18 12:31,4/11/18 14:38,6
Website,Complaint,Quality of Life,Transient,,4/5/18 13:37,4/5/18 13:38,0
Website,Complaint,Policies,Fares,,4/5/18 14:26,4/5/18 14:26,0
Phone,Complaint,Police,Rude Police Personnel,M60 - 24th St. Mission (SF),4/5/18 15:55,4/5/18 15:55,0
Phone,Complaint,Parking,Restrictions/Enforcement,,4/5/18 16:52,4/5/18 16:52,0
Website,Complaint,Quality of Life,Unclean Individual,,4/5/18 16:59,4/5/18 17:00,0
Website,Complaint,Police,Fare Evasion,C60 - Concord,4/5/18 17:56,4/11/18 15:54,6
Website,Complaint,AFC,Gate Malfunction,A60 - Hayward,4/5/18 18:19,4/11/18 16:26,6
Website,Complaint,Police,Lack of Presence - Train,,4/5/18 18:59,4/11/18 16:54,6
Website,Complaint,Service,5AM Start,,4/5/18 19:15,4/12/18 16:28,7
Website,Complaint,Policies,Ticket Exchange,K10 - 12th St. Oakland City Center,4/5/18 19:27,4/11/18 17:12,6
Website,Complaint,Parking,Crowded Lots,L10 - Castro Valley,4/5/18 19:33,4/11/18 17:29,6
Website,Complaint,Police,Lack of Police Response,M10 - West Oakland,4/5/18 21:16,4/12/18 11:46,7
Website,Complaint,Police,Police Misc.,,4/5/18 22:38,4/12/18 12:22,7
Website,Complaint,Parking,Paid,M10 - West Oakland,4/6/18 0:32,4/12/18 12:42,7
Website,Complaint,Policies,Operations,C80 - Pittsburg/Bay Point,4/6/18 5:12,4/12/18 12:44,6
Website,Complaint,Service,Early Dispatch,L30 - Dublin/Pleasanton,4/6/18 6:16,4/12/18 12:53,6
Website,Complaint,Quality of Life,Unclean Individual,,4/6/18 7:12,4/12/18 14:09,6
Website,Complaint,Train Cleanliness,Interior Car Cleanliness,,4/6/18 7:24,4/12/18 15:07,6
Website,Complaint,Quality of Life,Transient,L30 - Dublin/Pleasanton,4/6/18 8:04,4/12/18 15:14,6
Website,Complaint,Trains,Trains Misc.,A90 - Fremont,4/6/18 8:31,4/6/18 9:47,0
Walk In,Complaint,Maintenance and Equipment,Graffiti,M90 - Daly City,4/6/18 9:51,4/6/18 9:54,0
Website,Complaint,Service,Scheduling,K30 - MacArthur (Oakland),4/6/18 10:00,4/12/18 16:18,6
Website,Complaint,Quality of Life,Quality of Life - Other,,4/6/18 10:21,4/6/18 11:14,0
Website,Complaint,Police,Fare Evasion,A80 - Union City,4/6/18 10:35,4/6/18 10:35,0
Website,Complaint,Police,Lack of Presence - STA,,4/6/18 10:59,4/6/18 12:23,0
Phone,Complaint,Train Cleanliness,Interior Car Cleanliness,R10 - Ashby (Berkeley),4/6/18 11:21,4/6/18 11:33,0
Website,Complaint,Policies,Fares,M16 - Embarcadero (SF),4/6/18 11:47,4/12/18 16:24,6
Website,Complaint,Policies,Operations,W40 - Millbrae,4/6/18 11:55,4/12/18 16:33,6
Phone,Complaint,Train Cleanliness,Interior Car Cleanliness,K30 - MacArthur (Oakland),4/6/18 11:58,4/6/18 11:58,0
Website,Complaint,Policies,Operations,R10 - Ashby (Berkeley),4/6/18 13:20,4/12/18 16:45,6
Phone,Complaint,Police,Lack of Presence - STA,R60 - Richmond,4/6/18 13:26,4/12/18 17:10,6
Website,Complaint,Train Cleanliness,Interior Car Cleanliness,,4/6/18 13:33,4/12/18 17:32,6
Phone,Complaint,Maintenance and Equipment,M&E Misc.,,4/6/18 13:51,4/6/18 15:39,0
Phone,Complaint,Policies,Hot Topic,,4/6/18 13:54,4/6/18 14:15,0
Website,Complaint,AFC,Vendor Inoperative,C40 - Walnut Creek,4/6/18 14:12,4/13/18 11:50,7
Website,Complaint,Quality of Life,Quality of Life - Other,,4/6/18 15:34,4/13/18 12:14,7
Phone,Complaint,AFC,Clipper,M90 - Daly City,4/6/18 16:18,4/6/18 16:55,0
Phone,Complaint,AFC,Delays Due to AFC,A60 - Hayward,4/6/18 16:41,4/6/18 16:42,0
Website,Complaint,Service,Delays,,4/6/18 17:03,4/13/18 16:04,7
Website,Complaint,Train Cleanliness,Interior Car Cleanliness,Y10 - San Francisco Int'l Airport,4/6/18 17:05,4/13/18 16:12,7
Website,Complaint,Trains,Trains Misc.,,4/6/18 17:21,4/13/18 16:24,7
Phone,Complaint,Quality of Life,Mental Health,,4/6/18 17:42,4/6/18 17:42,0
Website,Complaint,Trains,Trains Misc.,,4/6/18 17:42,4/11/18 17:44,5
Website,Complaint,Service,Delays,,4/6/18 18:15,4/11/18 17:47,5
Website,Complaint,Passenger Information,Inadequate/Incorrect,,4/6/18 18:24,4/11/18 17:50,5
Website,Complaint,Trains,Trains Misc.,,4/6/18 18:35,4/11/18 17:55,5
Website,Complaint,Police,Lack of Presence - Train,,4/6/18 18:37,4/13/18 17:01,7
Website,Complaint,Service,Delays,,4/6/18 18:54,4/13/18 17:12,7
Website,Complaint,Service,Delays,,4/6/18 19:47,4/13/18 17:15,7
Website,Complaint,Service,Delays,,4/6/18 21:15,4/16/18 16:40,10
Website,Complaint,Police,Lack of Presence - STA,M40 - Civic Center/UN Plaza (SF),4/6/18 21:43,4/16/18 16:45,10
Website,Complaint,Train Cleanliness,Seats,,4/6/18 21:58,4/16/18 16:49,10
Website,Complaint,Police,Rude Police Personnel,,4/7/18 5:14,4/16/18 17:05,9
Website,Complaint,Passenger Information,Inadequate/Incorrect,,4/7/18 7:08,4/16/18 17:14,9
Website,Complaint,Police,Fare Evasion,,4/7/18 9:22,4/16/18 17:19,9
Website,Complaint,Quality of Life,Quality of Life - Other,,4/7/18 13:09,4/16/18 17:38,9
Website,Complaint,Quality of Life,Unclean Individual,,4/7/18 14:40,4/16/18 18:06,9
Website,Complaint,Police,Police Misc.,,4/7/18 19:51,4/16/18 18:10,9
Website,Complaint,Train Cleanliness,Interior Car Cleanliness,,4/7/18 22:43,4/16/18 17:01,9
Website,Complaint,Passenger Information,Improve Website,,4/8/18 6:36,4/13/18 16:30,5
Website,Complaint,Police,Lack of Presence - Train,K30 - MacArthur (Oakland),4/8/18 9:19,4/16/18 18:23,8
Website,Complaint,Quality of Life,Unclean Individual,,4/8/18 11:26,4/17/18 9:29,9
Website,Complaint,Train Cleanliness,Interior Car Cleanliness,,4/8/18 11:32,4/17/18 9:34,9
Website,Complaint,Bike Program,Bikes - Want More Accommodation,K30 - MacArthur (Oakland),4/8/18 11:40,4/17/18 9:45,9
Website,Complaint,Service,Service Misc.,K30 - MacArthur (Oakland),4/8/18 15:49,4/17/18 12:05,9
Website,Complaint,Service,Service Misc.,A30 - Coliseum,4/8/18 16:28,4/17/18 12:58,9
Website,Complaint,Train Cleanliness,Interior Car Cleanliness,,4/8/18 18:21,4/17/18 13:51,9
Website,Complaint,Service,Service Misc.,A30 - Coliseum,4/8/18 19:44,4/17/18 14:09,9
Website,Complaint,Quality of Life,Transient,,4/9/18 7:10,4/17/18 14:56,8
Website,Complaint,Parking,Paid,L30 - Dublin/Pleasanton,4/9/18 7:39,4/17/18 15:06,8
Website,Complaint,Service,Delays,L30 - Dublin/Pleasanton,4/9/18 8:03,4/17/18 15:15,8
Website,Complaint,Policies,Operations,,4/9/18 8:22,4/17/18 16:16,8
Website,Complaint,Trains,Trains Misc.,,4/9/18 8:49,4/17/18 16:25,8
Website,Complaint,Quality of Life,Unclean Individual,,4/9/18 9:14,4/17/18 16:59,8
Website,Complaint,Police,Lack of Presence - Train,,4/9/18 9:15,4/17/18 11:02,8
Phone,Complaint,Station Cleanliness,Platform,C30 - Lafayette,4/9/18 9:18,4/9/18 9:19,0
Phone,Complaint,Parking,Restrictions/Enforcement,A70 - South Hayward,4/9/18 11:21,4/9/18 11:21,0
Phone,Complaint,Station Cleanliness,Grounds,C20 - Orinda,4/9/18 11:52,4/9/18 13:27,0
Phone,Complaint,Policies,Ticket Exchange,K10 - 12th St. Oakland City Center,4/9/18 12:58,4/9/18 13:01,0
Website,Complaint,Service,Closed Door,C30 - Lafayette,4/9/18 13:06,4/17/18 10:00,8
Website,Complaint,Policies,Advertising,,4/9/18 13:39,4/17/18 9:51,8
Website,Complaint,Police,Fare Evasion,K10 - 12th St. Oakland City Center,4/9/18 16:00,4/17/18 17:22,8
Website,Complaint,Police,Police Misc.,,4/9/18 16:44,4/17/18 17:30,8
Website,Complaint,Trains,Air Conditioning Inoperative,,4/9/18 17:03,4/17/18 17:52,8
Website,Complaint,Police,Fare Evasion,K10 - 12th St. Oakland City Center,4/9/18 17:12,4/9/18 17:12,0
Website,Complaint,Train Cleanliness,Interior Car Vandalism,,4/9/18 18:46,4/17/18 17:59,8
Website,Complaint,Trains,Trains Misc.,,4/9/18 19:18,4/18/18 9:32,9
Website,Complaint,Maintenance and Equipment,Escalator,M30 - Powell St. (SF),4/9/18 19:49,4/18/18 10:05,9
Website,Complaint,Police,Fare Evasion,R10 - Ashby (Berkeley),4/9/18 19:57,4/18/18 10:12,9
Website,Complaint,Quality of Life,Mental Health,,4/9/18 21:01,4/18/18 10:28,9
Website,Complaint,Maintenance and Equipment,TDS Signs Not Working,M40 - Civic Center/UN Plaza (SF),4/9/18 21:59,4/18/18 10:32,9
Website,Complaint,Police,Lack of Presence - STA,,4/9/18 22:58,4/18/18 10:37,8
Website,Complaint,Police,Police Misc.,L20 - West Dublin/Pleasanton,4/9/18 23:14,4/18/18 10:52,8
Website,Complaint,Station Cleanliness,Grounds,C40 - Walnut Creek,4/10/18 5:45,4/18/18 12:01,8
Website,Complaint,Service,Delays,,4/10/18 6:12,4/18/18 13:12,8
Website,Complaint,Quality of Life,Transient,L30 - Dublin/Pleasanton,4/10/18 6:51,4/18/18 13:43,8
Website,Complaint,Police,Fare Evasion,M16 - Embarcadero (SF),4/10/18 7:38,4/18/18 13:51,8
Website,Complaint,Quality of Life,Transient,,4/10/18 7:43,4/18/18 13:54,8
Website,Complaint,Service,5AM Start,,4/10/18 7:55,4/12/18 11:48,2
Website,Complaint,Maintenance and Equipment,TDS Signs Not Working,M90 - Daly City,4/10/18 8:01,4/10/18 8:45,0
Website,Complaint,Police,Lack of Presence - STA,M40 - Civic Center/UN Plaza (SF),4/10/18 8:19,4/10/18 8:39,0
Website,Complaint,AFC,Parkmaster Inoperative,,4/10/18 8:26,4/10/18 8:56,0
Website,Complaint,Trains,Air Conditioning Inoperative,,4/10/18 8:35,4/10/18 8:50,0
Website,Complaint,Maintenance and Equipment,TDS Signs Not Working,M40 - Civic Center/UN Plaza (SF),4/10/18 8:47,4/10/18 8:47,0
Twitter,Complaint,Station Cleanliness,Platform,A20 - Fruitvale (Oakland),4/10/18 9:01,4/18/18 13:56,8
Website,Complaint,Announcements,Announcements Misc.,,4/10/18 9:07,4/18/18 14:19,8
Website,Complaint,Parking,Parking Misc.,,4/10/18 9:10,4/18/18 14:32,8
Website,Complaint,Police,Fare Evasion,M40 - Civic Center/UN Plaza (SF),4/10/18 10:21,4/10/18 11:23,0
Website,Complaint,Parking,Restrictions/Enforcement,C80 - Pittsburg/Bay Point,4/10/18 12:15,4/18/18 15:36,8
Website,Complaint,Quality of Life,Transient,,4/10/18 13:45,4/18/18 16:12,8
Phone,Complaint,Maintenance and Equipment,TDS Signs Not Working,M40 - Civic Center/UN Plaza (SF),4/10/18 13:53,4/10/18 13:54,0
Phone,Complaint,Service,Timed Meet/Connection,,4/10/18 14:29,4/18/18 17:19,8
Website,Complaint,Maintenance and Equipment,TDS Signs Not Working,M40 - Civic Center/UN Plaza (SF),4/10/18 14:30,4/10/18 14:30,0
Phone,Complaint,Passenger Information,Improve Website,,4/10/18 14:57,4/10/18 14:58,0
Phone,Complaint,Service,5AM Start,,4/10/18 15:02,4/18/18 17:27,8
Phone,Complaint,Policies,Fares,,4/10/18 15:22,4/10/18 15:23,0
Phone,Complaint,Station Cleanliness,Grounds,A90 - Fremont,4/10/18 15:22,4/10/18 15:24,0
Phone,Complaint,Police,Lack of Presence - STA,M40 - Civic Center/UN Plaza (SF),4/10/18 16:57,4/18/18 17:42,8
Website,Complaint,Maintenance and Equipment,TDS Signs Not Working,M40 - Civic Center/UN Plaza (SF),4/10/18 17:02,4/18/18 17:49,8
Website,Complaint,Maintenance and Equipment,TDS Signs Not Working,M20 - Montgomery St. (SF),4/10/18 18:29,4/18/18 18:32,8
Website,Complaint,Police,Fare Evasion,M70 - Glen Park (SF),4/10/18 19:14,4/19/18 10:36,9
Website,Complaint,Police,Lack of Presence - STA,,4/10/18 19:24,4/19/18 10:40,9
Website,Complaint,Service,Closed Door,K10 - 12th St. Oakland City Center,4/10/18 19:54,4/19/18 11:00,9
Website,Complaint,Train Cleanliness,Interior Car Cleanliness,,4/10/18 20:56,4/19/18 11:08,9
Website,Complaint,Policies,Operations,,4/11/18 5:48,4/24/18 15:01,13
Website,Complaint,Quality of Life,Unclean Individual,,4/11/18 5:54,4/19/18 12:04,8
Website,Complaint,Trains,Trains Misc.,,4/11/18 7:23,4/12/18 16:09,1
Website,Complaint,Parking,Restrictions/Enforcement,C70 - North Concord/Martinez,4/11/18 7:25,4/19/18 14:33,8
Website,Complaint,Quality of Life,Quality of Life - Other,L30 - Dublin/Pleasanton,4/11/18 8:19,4/19/18 13:24,8
Website,Complaint,Service,5AM Start,,4/11/18 8:20,4/19/18 11:55,8
Website,Complaint,Parking,Paid Reserve,K30 - MacArthur (Oakland),4/11/18 8:24,4/19/18 13:26,8
Website,Complaint,Police,Police Misc.,A50 - Bay Fair (San Leandro),4/11/18 8:46,4/19/18 14:01,8
Website,Complaint,Service,Delays,L20 - West Dublin/Pleasanton,4/11/18 8:59,4/19/18 14:06,8
Website,Complaint,Service,Delays,K30 - MacArthur (Oakland),4/11/18 9:04,4/19/18 14:08,8
Website,Complaint,Trains,Air Conditioning Inoperative,,4/11/18 9:06,4/12/18 16:45,1
Website,Complaint,Service,Closed Door,M20 - Montgomery St. (SF),4/11/18 9:53,4/19/18 14:27,8
Website,Complaint,Police,Lack of Presence - STA,,4/11/18 12:32,4/12/18 16:23,1
Phone,Complaint,Passenger Information,Improve Website,,4/11/18 12:36,4/11/18 12:39,0
Website,Complaint,Service,Delays,M16 - Embarcadero (SF),4/11/18 14:28,4/20/18 14:34,9
Website,Complaint,Train Cleanliness,Interior Car Vandalism,,4/11/18 16:35,4/11/18 17:33,0
Phone,Complaint,Police,Fare Evasion,,4/11/18 16:39,4/11/18 16:45,0
Website,Complaint,Policies,Operations,A30 - Coliseum,4/11/18 17:00,4/20/18 14:28,9
Phone,Complaint,Police,Lack of Police Response,A40 - San Leandro,4/11/18 17:20,4/11/18 17:42,0
Phone,Complaint,Police,Lack of Presence - STA,M40 - Civic Center/UN Plaza (SF),4/11/18 17:39,4/20/18 14:58,9
Website,Complaint,Policies,Security-Restroom Closure,M16 - Embarcadero (SF),4/11/18 17:45,4/20/18 14:20,9
Website,Complaint,Service,Delays,,4/11/18 18:11,4/12/18 13:02,1
Website,Complaint,Service,Closed Door,C50 - Pleasant Hill/Contra Costa Centre,4/11/18 18:46,4/12/18 12:54,1
Website,Complaint,Police,Police Misc.,C30 - Lafayette,4/11/18 19:32,4/12/18 12:31,1
Website,Complaint,Maintenance and Equipment,TDS Signs Not Working,C40 - Walnut Creek,4/12/18 6:17,4/12/18 12:11,0
Website,Complaint,AFC,Gate Malfunction,R60 - Richmond,4/12/18 6:32,4/12/18 11:37,0
Website,Complaint,Quality of Life,Quality of Life - Other,M30 - Powell St. (SF),4/12/18 7:08,4/12/18 11:18,0
Website,Complaint,Quality of Life,Unclean Individual,,4/12/18 7:10,4/12/18 11:10,0
Website,Complaint,Quality of Life,Unclean Individual,C40 - Walnut Creek,4/12/18 7:24,4/12/18 8:17,0
Website,Complaint,Train Cleanliness,Seats,,4/12/18 8:12,4/12/18 10:17,0
Website,Complaint,Quality of Life,Quality of Life - Other,R60 - Richmond,4/12/18 8:34,4/12/18 9:54,0
Phone,Complaint,Maintenance and Equipment,STA Pub Address,,4/12/18 13:34,4/12/18 13:52,0
Phone,Complaint,Trains,Doors Inoperative,A40 - San Leandro,4/12/18 16:27,4/12/18 16:29,0
Website,Complaint,Police,Fare Evasion,,4/12/18 16:35,4/20/18 10:34,8
Website,Complaint,Service,Yard Stops,,4/12/18 16:44,4/19/18 14:48,7
Website,Complaint,Quality of Life,Quality of Life - Other,,4/12/18 17:58,4/19/18 15:58,7
Website,Complaint,Service,Timed Meet/Connection,K30 - MacArthur (Oakland),4/12/18 18:23,4/19/18 16:10,7
Website,Complaint,Maintenance and Equipment,Landscaped/Tree/Bushes,,4/12/18 18:51,4/19/18 16:19,7
Website,Complaint,Parking,Parking Misc.,C40 - Walnut Creek,4/12/18 19:29,4/20/18 10:41,8
Website,Complaint,Police,Lack of Presence - STA,M40 - Civic Center/UN Plaza (SF),4/12/18 20:00,4/13/18 9:36,1
Website,Complaint,Train Cleanliness,Interior Car Cleanliness,M10 - West Oakland,4/12/18 21:53,4/13/18 8:27,0
Website,Complaint,Quality of Life,Quality of Life - Other,,4/13/18 7:22,4/13/18 8:21,0
Twitter,Complaint,Train Cleanliness,Interior Car Cleanliness,,4/13/18 7:29,4/13/18 8:18,0
Website,Complaint,Passenger Information,Inadequate/Incorrect,,4/13/18 7:38,4/20/18 12:00,7
Website,Complaint,Police,Lack of Presence - STA,C80 - Pittsburg/Bay Point,4/13/18 9:40,4/13/18 9:41,0
Website,Complaint,Maintenance and Equipment,Lighting,C50 - Pleasant Hill/Contra Costa Centre,4/13/18 10:21,4/13/18 15:01,0
Website,Complaint,Police,Fare Evasion,A40 - San Leandro,4/13/18 10:33,4/20/18 12:10,7
Website,Complaint,Passenger Information,Improve Website,,4/13/18 11:43,4/13/18 15:14,0
Phone,Complaint,Trains,Trains Misc.,,4/13/18 14:04,4/13/18 14:04,0
Website,Complaint,Police,Lack of Presence - STA,M20 - Montgomery St. (SF),4/13/18 14:21,4/13/18 15:08,0
Website,Complaint,Train Cleanliness,Interior Car Cleanliness,,4/13/18 15:31,4/13/18 15:59,0
Website,Complaint,Maintenance and Equipment,TDS Signs Not Working,,4/13/18 16:17,4/13/18 16:34,0
Phone,Complaint,Service,5AM Start,A90 - Fremont,4/13/18 17:03,4/13/18 17:03,0
Phone,Complaint,Police,Lack of Presence - STA,M40 - Civic Center/UN Plaza (SF),4/13/18 17:27,4/13/18 17:39,0
Website,Complaint,Announcements,Announcements Misc.,,4/13/18 19:03,4/24/18 15:06,11
